CUT,Nombre,Latitud,Longitud
10102,Calbuco,-41.758,-73.151
10103,Cochamó,-41.5,-72.317
10104,Fresia,-41.153,-73.42
10105,Frutillar,-41.117,-73.1
10106,Los Muermos,-41.391,-73.465
10107,Llanquihue,-41.266,-73.012
10108,Maullín,-41.618,-73.598
10109,Puerto Varas,-41.323,-72.97
10201,Castro,-42.478,-73.779
10202,Ancud,-41.877,-73.814
10203,Chonchi,-42.626,-73.781
10204,Curaco de Vélez,-42.434,-73.582
10205,Dalcahue,-42.374,-73.651
10206,Puqueldón,-42.604,-73.684
10207,Queilén,-42.874,-73.47
10208,Quellón,-43.121,-73.608
10209,Quemchi,-42.142,-73.478
10210,Quinchao,-42.479,-73.497
10301,Osorno,-40.574,-73.126
10302,Puerto Octay,-40.967,-72.9
10303,Purranque,-40.909,-73.175
10304,Puyehue,-40.717,-72.321
10305,Río Negro,-41.967,-72.45
10306,San Juan de la Costa,-40.501,-73.392
10307,San Pablo,-40.4,-73.017
10401,Chaitén,-42.899,-72.667
10402,Futaleufú,-43.168,-71.848
10403,Hualaihué,-41.992,-72.667
10404,Palena,-43.623,-71.804
11101,Coyhaique,-45.564,-72.065
11102,Lago Verde,-44.219,-71.839
11201,Aysén,-45.412,-72.698
11202,Cisnes,-44.751,-72.697
11203,Guaitecas,-43.884,-73.95
11301,Cochrane,-47.267,-72.55
11302,O'Higgins,-48.8,-73.183
11303,Tortel,-47.781,-73.512
11401,Chile Chico,-46.55,-71.733
11402,Río Ibáñez,-46.255,-71.95
12101,Punta Arenas,-53.148,-70.907
12102,Laguna Blanca,-52.267,-71.183
12103,Río Verde,-52.628,-71.477
12104,San Gregorio,-52.567,-70.067
12201,Cabo de Hornos,-54.947,-67.607
12202,Antártica,-75,-71.5
12301,Porvenir,-53.298,-70.385
12302,Primavera,-52.886,-69.353
12303,Timaukel,-53.672,-69.71
12401,Natales,-51.733,-72.517
12402,Torres del Paine,-50.982,-72.499
13101,Santiago,-33.4372222222222,-70.6572222222222
13102,Cerrillos,-33.5,-70.7166666666667
13103,Cerro Navia,-33.422,-70.735
13104,Conchalí,-33.38,-70.675
13105,El Bosque,-33.567,-70.675
13106,Estación Central,-33.459,-70.699
13107,Huechuraba,-33.368,-70.634
13108,Independencia,-33.413,-70.666
13109,La Cisterna,-33.529,-70.663
13110,La Florida,-33.525,-70.538
13111,La Granja,-33.5333333333333,-70.625
